state,town,latitude,longitude,total_fatalities
Borno state,Monguno town,12.67863,13.60792,164
Plateau state,Dogo Nawaha,9.8,8.95,164
Borno state,Malam Fatouri town,13.6734,13.3388,157
Anambra state,Onitsha town,6.14543,6.788452,157
Borno state,Ngoshe area,11.14164,13.77493,153
Cross River state,Yala LGA,6.653982,8.549387,150
Benue state,Gbeji village,7.807136,9.476681,150
Borno state,Borno state,11.5,13,149
Borno state,Gudunbali,12.94284,13.17831,144
Borno state,"Benishiek town, Borno state",11.8072,12.4909,143
Adamawa state,Numan town,9.466667,12.033333,142
Borno state,Mainok town,11.83022,12.63067,137
Borno state,Bangi village,11.52059,14.09661,130
Delta state,Warri town,5.5167,5.75,129
Yobe state,Damaturu,11.747,11.9608,129
Taraba state,Wukari town,7.85,9.783333,129
Kaduna state,"Zonkwa town, southern Kaduna State",9.78333,8.28333,126
Kaduna state,southern Kaduna State,9.702073,8.048501,125
Kaduna state,Kafanchan village,9.58333,8.3,125
Kaduna state,"Matsirga village (near Kafanchan), southern Kaduna state",9.58333,8.3,125
Borno state,Izge village,10.983528,13.350111,124
Borno state,Dikwa town (near),12.03609,13.91815,119
Borno state,Kukawa village,12.92475,13.56617,118
Plateau state,Jos town (New Abuja market),9.916667,8.9,118
Borno state,Maiduguri town (Gomari and Ajilari general area),11.84644,13.160274,117
Borno state,Gwoza LGA,11.103593,13.712983,112
Adamawa state,Mubi town,10.26761,13.26436,112
Borno state,"Rann, Kala Balge district, Borno state",12.28295,14.47243,112
Borno state,Malam Fatori (10 km from),13.6734,13.3388,111
Adamawa state,Michika town,10.61592,13.3849,110
Borno state,Maiduguri,11.84644,13.160274,109
Yobe state,"Goniri village, 60 kilometres southeast of Damaturu,",11.48451,12.31264,108
Yobe state,Buni Gari in Gujba Local Government Area of Yobe state,11.20148,12.03125,106
Taraba state,Sardauna LGA,6.87463,11.21184,105
Yobe state,Potiskum town,11.7091,11.0694,105
Kaduna state,Kafachan town,9.583333,8.3,102
Borno state,"on an Island in the Tumbuns on the Lake Chad and at Malam Fatori  ///  ""Tumbun Kura"", about 17 kilometers east of Mallam Fatori",13.6734,13.3388,101
Borno state,Kirta Wulgo island  "They gathered at Tumbun Ali island in the Nigerian side of the lake and dislodged six ISWAP checkpoints before taking over Kirta Wulgo",12.79305,14.12087,101
Borno state,Damasak (under a bridge outside),13.09771,12.4952,100
Adamawa state,Dumne village,9.779722,12.421667,100
Delta state,Arunton village,5.580064,5.1792,100
Taraba state,Taraba State,8,10.5,100
Lagos state,Mushin LGA,6.55578,3.34418,100
Borno state,Damasak,13.09771,12.4952,99
Adamawa state,between Bita and Jaji in Madagali area (just on the border with Borno State),10.85219,13.54889,97
Anambra state,Aguleri town (area),6.32241,6.89021,97
Borno state,"Bama town, Borno state",11.5221,13.68558,97
Borno state,Baga town,13.09466,13.82343,97
Edo state,Benin city,6.335045,5.627492,96
Kaduna state,Zango-Kataf town,9.833333,8.4,95
Borno state,Baga town (outside),13.09466,13.82343,94
Borno state,Biu town,10.61285,12.19458,94
Borno state,Kumche town,11.3548,14.21296,94
Borno state,Bulabulin Ngaura,11.3885,12.9074,91
Kano state,Kano town (Grand Mosque in),11.994354,8.513807,91
Taraba state,Karim-Lamido LGA,9.2,10.883333,90
Borno state,Rann,12.28295,14.47243,87
Borno state,a camp belonging to affiliates of the Bakoura group in the Lake Chad region,13.151034,13.964249,87
Lagos state,Lagos town,6.453056,3.395833,83
Benue state,"Egba village, Agatu LGA",7.879744,7.959716,82
Borno state,Damboa and Maiduguri (between),11.439891,12.945559,82
Borno state,"Kalla village, about two kilometres away from Damboa",11.15604,12.75758,82
Borno state,"in the Sambisa axis  ///  many villages of terrorists in the axis including Garin Bello, Kwoche, Lawanti, Alfa Bula Hassan and Alfa Cross among others",11.25,13.416667,82
Benue state,"Egba village, Agatu LGAA",7.879744,7.959716,81
Borno state,"The village of Faduma Koloram, in Gubio local government area  ///  Foduma Kolomaiya village, 11 kilometres away from Gazaure town of Gubio Local Government Area of Borno State  ///  Faduma Kolomdi, a nomadic village, is located 35 kilometres in the north",12.89979,12.81882,81
Taraba state,Karin Lamido LGA (Karim Lamido area),9.2,10.883333,80
Rivers state,"Umuechem village, Etche LGA, Rivers State",5.00718,7.03192,80
Borno state,Bita village,11.16667,13.41667,80
Borno state,Timbuktu Triangle general area,11.259902,12.351687,78
Borno state,Njaba village,11.13357,12.951895,78
Borno state,Sabon Gari village,10.810416,12.45449,77
Gombe state,Bajoba town,10.8509,11.43135,77
Borno state,in Marte; three Islamic State West Africa Province (ISWAP) camps in Nigeria's northeast  ///  at Arinna Sorro and Arinna Ciki and Arinna Maimasalaci in Marte Local Government Area in Borno,12.36532,13.8293,77
Borno state,Mafa town,11.92543,13.60269,76
Borno state,Bama Town (near),11.5221,13.68558,76
Borno state,"at Kwashebe Zamarmari in the Jere local government area  ///  in Koshobe village near Zabarmari, Jere Local Government Area of Borno State;  Koshobe, located north east, an a village under Mafa Local Government Area;  [killed] in Koshobe, a community unde",11.981081,13.314045,76
Bauchi state,Tafawa Balewa town,9.758333,9.557222,75
Adamawa state,Mahia and Mubi (between),9.99668,13.21673,75
Borno state,Kala-Balge town,12.07872,14.45192,75
Borno state,Kur Mohammed Barracks in Bama,11.5221,13.68558,75
Borno state,counter attack in response to an attack at Banki Junction and Response Area Firgi.,11.339916,13.796287,75
Federal Capital territory,Abuja (Nyanya station),9.083333,7.533333,75
Borno state,Ngurosoye Village,11.46991,13.75786,72
Borno state,"Baga, Borno",13.09466,13.82343,72
Borno state,"Kirawa-Jimni village, Gwoza lga",11.189764,13.911289,71
Borno state,an army barracks in "Mitala" in the Lake Chad basin  ///  Metele,13.357646,13.426181,70
Borno state,"around Jibi village situated between Magumeri and Gubio Local Government Areas of Borno State  JIBI Village (near), between BORNO YESU, MAGUMERI LGA and MAIDUGURI, MAGUMERI LGA  Yesu District of Magumeri Local Government Area",12.19928,12.48579,69
Rivers state,Rumuche village,4.87396,6.85996,69
Kaduna state,"eight settlements near Maro Gida village of Kajuru Local Government of Kaduna State: Ruga Bahago, Ruga Daku, Ruga Ori, Ruga Haruna, Ruga Yukka Abubakar, Ruga Duni Kadiri, Ruga Shewuka and Ruga Shuaibu Yau.  Maro Gida and Iri axis of Kajuru LGA",10.08174,7.72465,66
Yobe state,"Gujba town (30 kilometres south of Damaturu), Yobe state",11.5032,11.9367,65
Borno state,Kirawa village (on the Maiduguri Bama Gwoza road),11.483371,13.72786,65
Borno state,"Dalori, about 5 km (3 miles) east of Maiduguri",11.76002,13.26606,63
Borno state,Gubio town,12.499,12.7848,63
Plateau state,Jos South LGA (Sabon Gidan Kanar village),9.766667,8.8,62
Ogun state,Shagamu town,6.843226,3.647763,60
Rivers state,Rivers state (Andoni River),4.75,6.833333,60
Jigawa state,"Lamba Forest, Gwaram LGA",11.1858,9.9686,60
Borno state,Gaidamgari Village,11.573331,13.66809,60
Borno state,Amchaka village,11.47859,14.120545,60
Borno state,Musari village,11.5,13,59
Yobe state,Buni Yadi,11.26889,11.99694,59
Borno state,"Buk, Talala and Gorgi in Alagarno Forest  ///  Timbuktu Triangle",11.259902,12.351687,58
Borno state,Madawaya forest,11.344128,14.319557,58
Borno state,"MALAM FATORI, ABADAM LGA",13.6734,13.3388,58
Borno state,Arege village,13.48895,13.32904,57
Borno state,Talagam village (between Damasak and Malam Fatori),13.43162,13.31319,57
Plateau state,Jos South LGA (Sabon Gidan Forom village),9.766667,8.8,56
Borno state,Alafa forest (about 21km from Bama),11.5221,13.68558,56
Borno state,"Badu (Baanu) village (near Gajiram), Nganzai lga",12.70365,13.21845,56
Adamawa state,Mubi (Unguwar Shuwa area),10.26761,13.26436,56
Borno state,Buk in Damboa LGA,11.23569,12.38397,56
Borno state,BULAKESA village,11.925833,13.605556,55
Borno state,Kawuri village,11.572354,13.536488,55
Borno state,Miyanti and Bulungu,11.52059,14.09661,55
Kaduna state,at Kasuwan Magani in Kajuru Local Government Area of Kaduna state,10.39646,7.71703,55
Borno state,"Zabarmari village, 10 kilometres from Maiduguri",11.84644,13.160274,55
Kaduna state,Jema'a LGA,9.38269,8.26813,54
Borno state,Marte town,12.36532,13.8293,53
Borno state,Kayamla village,11.691757,13.222078,53
Borno state,"Konduga town, Borno state",11.65583,13.42133,53
Borno state,"Azaya Kura village, Mafa LGA",11.954357,13.34035,53
Borno state,at Bulabulin (village) along the Maiduguri-Damboa Road,11.3885,12.9074,52
Borno state,Abadam,13.6169,13.26438,52
Borno state,Maiduguri town (Bintu Suga area),11.84644,13.160274,52
Plateau state,Gero village,9.83333,8.83333,52
Nasarawa state,Assakio,8.6,8.85,51
Taraba state,"Bujum-Yashi, Bujum-Wagure, Wagure, Bujum-Centre, Yoti, Galadimawa, Bamga-Dutse, San-Turaki, Bunzung, Kwajafa, Sobon-Layi, Bawa-Garki and Kpanti Ladi, Lau LGA",9.18704,11.42011,51
Borno state,Molai village area (10 kilometres south of Maiduguri),11.755521,13.106469,51
Borno state,super camp in Damasak town,13.09771,12.4952,51
Borno state,"the town; on Damboa LGA of Borno State  ///  one of their bases in Borno, Northeast Nigeria; in the Damboa area of Borno State  ///  an army camp and a police station in the town of Damboa",11.15604,12.75758,51
Kaduna state,"Chenshyi village, Bondon District in Kaura Local Government Area",9.61232,8.46992,51
Borno state,"in Zari, located in Mobbar area in Borno state",13.087504,12.738476,51
Borno state,"Kawuri, Konduga LGA",11.572354,13.536488,50
Borno state,"Mada, Konduga LGA, Borno state",11.58605,13.00278,50
Borno state,"Dalwa village (about 20 kilometers from Maiduguri), around",11.65822,13.03365,50
Borno state,"Dumba'a, a Nigerian locality located 45 km south of Toumour",13.312921,12.980921,50
Borno state,"Biita village (along, 171 kilometres south of Maiduguri)",11.16667,13.41667,50
Adamawa state,Michika town (near),10.61592,13.3849,50
Delta state,Ethiope West LGA,5.9,5.733333,50
Ebonyi state,Ishielu district,6.42714,7.83583,50
Borno state,Monguno town (bush outside),12.67863,13.60792,50
Taraba state,Dooshima village,8.238208,9.696992,50
Taraba state,Dooshima village (near),8.238208,9.696992,50
Taraba state,"Tonga Maina village, Sardauna LGA",6.87463,11.21184,50
Nasarawa state,Egan (Igga) village,8.74947,8.44035,50
Ondo state,Oroto town,6.07331,4.809321,50
Plateau state,Plateau state (Kendi village),9.166667,9.75,50
Yobe state,Potiskum town (Government Comprehensive Senior Science Secondary School),11.7091,11.0694,49
Borno state,Dille village,10.74025,13.21742,49
Borno state,Dogon Fili (15 kilometres from Baga),13.09466,13.82343,48
Benue state,Adikpo town,6.887886,9.235472,48
Yobe state,at Sasawa/ along Sasawa road/Sasawa village/Sasawa community in Babbangida Local Government Area of Yobe,12.048634,12.096891,48
Yobe state,Buni Yadi town,11.26889,11.99694,48
Borno state,"Mussaram village, near Monguna town",12.63745,13.6856,48
Ebonyi state,Ishielu LGA,6.42714,7.83583,48
Delta state,Olomora village,5.412096,6.139415,47
Cross River state,Cross River state,5.75,8.5,46
Osun state,Ile-Ife town (Sabo area),7.4824,4.56032,46
Borno state,"Chuha I, Chuha II villages (near), Chibok LGA",10.83642,12.7705,46
Borno state,Maiduguri town (outskirts),11.84644,13.160274,46
Borno state,Bulanbuli (outskirts of),11.3885,12.9074,45
Adamawa state,"MADAGALI, MADAGALI LGA",10.88942,13.62832,45
Adamawa state,Yola town (Jimeta Main Market),9.2,12.48333,45
Akwa Ibom state,Akwa Ibom state,5,7.833333,45
Borno state,Bardari village (some 25km southeast of of Maiduguri; near the University of Maiduguri on the outskirts of the city),11.84644,13.160274,45
Borno state,"a base in Jilli village, in the Geidam area of Yobe state",12.61431,12.46655,45
Nasarawa state,"Kampani, Agbolagu and Fadama-Bona villages, Nassawara Eggon LGA",8.74947,8.44035,45
Nasarawa state,"in Hangara village and neighbouring Kwayero village  in 12 villages across Lafia, Obi and Awe districts",8.5,8.25,45
Taraba state,Suntai village,7.9,10.38333,45
Borno state,Pulka,11.226071,13.783778,44
Borno state,Gajiram,12.49303,13.20914,44
Borno state,Gonori (near Gamboru),12.37066,14.21731,44
Borno state,"Delwa (around, 35 kilometres from Maiduguri)",11.65822,13.03365,43
Borno state,"Kalwa, Misala and Gwollam villages, 17km from Monguno town",12.67863,13.60792,43
Borno state,Kangarwa town,12.96309,13.60899,43
Benue state,"Dooga, Kpata, Lokobi, Ajimaka, Ekeae, Giza and Mbagwem",7.96667,8.76667,43
Borno state,the town of Damboa in Borno state,11.15604,12.75758,43
Borno state,Uba town,10.45509,13.22233,43
Yobe state,Potiskum town (Hawan Malka area on the outskirts of),11.7091,11.0694,43
Yobe state,"Mamudo village (five kilometres from Potiskum), Yobe state",11.6852,11.1861,42
Yobe state,"Babbangida town, Yobe Stat",12.1076,11.7539,42
Plateau state,Turu village,9.68333,8.76667,42
Delta state,Warri town (around),5.5167,5.75,42
Adamawa state,"at a mosque and a market in in Mubi, Adamawa state",10.26761,13.26436,42
Borno state,Attagara village,11.10785,13.81294,42
Borno state,Dalwa village,11.65822,13.03365,42
Borno state,"GARERE Village, KUKAWA LGA",12.96309,13.60899,42
Borno state,Gur area,10.77813,12.23147,42
Borno state,"Lawanti village, Mainok LGA, Borno state",11.61294,12.520037,41
Borno state,at Cross Kauwa in Kukawa Council of Borno State,12.94515,13.67232,41
Benue state,Ukum lga,7.629936,9.645133,41
Cross River state,Odukpani LGA,5.18502,8.13314,41
Delta state,Ikpokpogri village,5.681275,5.74147,41
Borno state,near Gamboru and Ngala towns  ///  patrol along Gulwa and Musuri in Gamboru Ngala Local Government Area of Borno State; At Musuri,12.21532,14.18319,41
Plateau state,Jos South LGA (Tim-Tim village),9.766667,8.8,41
Plateau state,Gerkawa town,8.966667,9.816667,40
Nasarawa state,"Rukubi village, Doma LGA, Nasarawa state",7.9308,8.305,40
Yobe state,Babangida town,12.1076,11.7539,40
Yobe state,"near Mazari village, Gujba LGA, Yobe state",11.38333,11.96667,40
Borno state,"Tumbun Rago, Abadam LGA",13.43162,13.31319,40
Borno state,"Tumbun Rago, Abadam LGA, Borno state",13.4814,13.483791,40
Borno state,Sambisa forest Gwoza,11.25,13.416667,40
Borno state,"Alajeri, Guzamala LGA",12.91849,13.21395,40
Borno state,"Bama town (10 km from), on the fringes of Sambisa Forest, Borno State",11.5221,13.68558,40
Borno state,Bita village general area along Damboa-Gwoza Road,11.16667,13.41667,40
Borno state,"Bone, a settlement along the Yale-Kumshe ais",11.724675,13.726295,40
Borno state,between Bama and Gwoza  Gwoza (Nigeria Wacth),11.103593,13.712983,40
Adamawa state,Shafaran and Ketowal,9.45371,11.836653,40
Adamawa state,Vimtim town (about 30 minutes drive from Mubi along the highways on the Yola-Maiduguri road),10.343242,13.321153,40
Benue state,Logo and Ukum LGA,7.68922,9.25049,40
Bauchi state,Tafawa Balewa,9.76017,9.55172,40
Borno state,Liman Kara Police College,10.98267,13.66066,40
Borno state,"Logomani village, near the town of Dikwa  ///  village of Maula",12.19763,14.0223,40
Borno state,"Maiduguri town (outside, in villages and on banks of River Ngaddabul)",11.84644,13.160274,40
Borno state,Malam Fatori area,13.6734,13.3388,40
Borno state,Mallm Fatori (near),13.6734,13.3388,40
Borno state,Koleram in Marte Local Government Area of Borno State,12.571088,13.963203,40
Borno state,in Yuwe area/at Yuwe ????of Borno State,11.52059,14.09661,40
Borno state,"in the locality of Kerawa, Nigeria located less than 5 kilometers from Kerawa Cameroon",11.189764,13.911289,40
Borno state,Kala-Balge lga,12.04639,14.48093,40
Borno state,Gurmushi village,12.36532,13.8293,40
Borno state,Gwadale border community under Gwoza local government area,11.150053,13.847976,40
Borno state,heading towards Ngowala ward in Magumeri Local Government Area  ///  just northwest of Maiduguri: https://openstreetmap.org/relation/3721432,11.920864,12.914982,40
Borno state,"Goho village, Kaga LGA, Borno state",11.64518,12.45165,40
Borno state,in Nganzai town  ///  along Gasarwa and Birmari in Gajiram  ///  between the towns of Monguno and Gajiram,12.618096,13.332251,40
Borno state,in Bura Kolege/Bula Korege on the fringes of Sambisa Forest,11.36489,13.67946,40
Borno state,"in Gubio, Borno State",12.67777,12.75361,40
Borno state,Dalwa-Masuba village,11.09826,12.76417,40
Borno state,"Galangi village, Mainok LGA, Borno state",11.51667,12.53333,40
Borno state,"Damboa, Borno state",11.15604,12.75758,39
Borno state,in the town of Monguno,12.67863,13.60792,39
Borno state,Kamuya village,11.0319,12.0597,39
Bayelsa state,Nembe town,4.539402,6.400344,39
Borno state,along Askira - Chibok Main Supply Route (MSR),10.761646,12.880567,39
Benue state,Zaki-Bian village,7.516667,9.616667,39
Federal Capital territory,on the way in to Abuja City,9.083333,7.533333,39
Taraba state,"Wukari town, Taraba state",7.85,9.783333,39
Borno state,Molai area,11.755521,13.106469,38
Borno state,"Ajirin village, Mafa LGA",11.97351,13.71187,38
Benue state,"Ekwo-Okpachanyi village, Agatu LGA, Benue state",7.940585,7.799793,38
Borno state,"Buk, Damboa LGA",11.23569,12.38397,38
Borno state,"Kotokuma, Dikwa Local Government Area",11.90069,14.02693,37
Adamawa state,Michika LGA,10.618056,13.389444,37
Borno state,"Alagarno village area, Borno state",11.5,13,37
Borno state,"Sambisa forest general area  ///  near the village of Yuwe, in Sambisa Forest (35 km SW of Bama)",11.405957,13.39628,37
Federal Capital territory,Madalla outside the capital Abuja,9.10444,7.21333,37
Gombe state,Gombe town (Dukku bus terminus),10.28969,11.16729,37
Kogi state,Okene town,7.55,6.233333,37
Taraba state,Wukari LGA (Wukari area),7.96327,9.84767,37
Yobe state,in Yobe State,12,11.5,36
Yobe state,Katarko village of Gujba Local Government Area (about 21 kilometres south of Damaturu),11.56189,11.91656,36
Kaduna state,Kajuru,10.31921,7.68924,36
Kaduna state,"Karmai village, Maro community, in Kajuru Local Government Area of Kaduna State",10.036951,7.680461,36
Borno state,"Yamarkumi village, four kilometres from Biu",10.65808,12.1628,36
Borno state,Djaboullam (east across the border from Diffa),13.5145,13.0801,36
Borno state,"Dumba (Demba) village (close to Baga town), Borno state",13.09466,13.82343,35
Borno state,"Damboa town (87 km from Maiduguri), Borno State",11.15604,12.75758,35
Borno state,Alagarno forest in Kala-Balge LGA,12.04639,14.48093,35
Adamawa state,Marabi-Mubi junction (about 30 km west of Mubi),10.312088,13.162663,35
Delta state,Oboro village,5.187601,5.880154,35
Kaduna state,"Ungwan Rana (9.72859, 7.64753 in Kachia), Ungwan Araha, Ungwan Dantata, Tudu Doka Avong and Ungwan Magayaki",10.333333,7.75,35
Borno state,Monguno near Lake Chad,12.67863,13.60792,35
Plateau state,"three LGAs: Barkin Ladi, Riyom and Jos South  ///  three LGA:s: Barkin Ladi, Mangu and Riyom",9.54969,8.9344,35
Plateau state,"Wase town, Wase LGA, Plateau state",9.1,9.966667,35
Rivers state,Khana LGA (Kaa village),4.69962,7.42264,35
Taraba state,Kwarakwara town in Sardauna Local Government Area,6.573788,11.245206,35
Taraba state,"a community in Takum, Takum town, Taraba State",7.266667,9.983333,34
Plateau state,"three LGAs: Barkin Ladi, Riyom and Jos South  ///  three LGA:s: Barkin Ladi, Mangu and Riyom",9.56796,8.68476,34
Plateau state,"three LGAs: Barkin Ladi, Riyom and Jos South  ///  three LGA:s: Barkin Ladi, Mangu and Riyom",9.39052,9.17968,34
Yobe state,"at Gonan Kaji Village along Damaturu-Buni Yadi Road in Yobe State  ///  at Gonan Kaji, a village in Gujba Local Government Area along the Damaturu- Biu Road  ///  Gujba town in Yobe state",11.38333,11.96667,34
Plateau state,"Jos town (Dilimi market and along Bauchi Road, Christian neighborhoods, Gada Biu bus terminus)",9.916667,8.9,34
Plateau state,Shonong village in the Riyom area of Plateau state,9.56796,8.68476,34
Borno state,MUNA Garage,11.870457,13.250751,34
Borno state,M?til? (near),13.35765,13.42618,34
Borno state,Toumbo Dj?ni (near),13.43162,13.31319,34
Borno state,TOUMBO REGOU (near),13.4814,13.483791,34
Adamawa state,Yola town (Jimeta area),9.2,12.48333,34
Adamawa state,Lamurde town  Tingno village in Lamurde Local Government Area,9.53333,11.68333,34
Benue state,Akuroko village,7.96667,8.76667,34
Borno state,Aregu? (near),13.48895,13.32904,34
Borno state,Bama-Fulka road,11.360833,13.762558,34
Borno state,Baderi village (near Maiduguri),11.84644,13.160274,34
Borno state,Malkonory (near),13.51854,13.37617,34
Borno state,"Kareto, northern Borno state (38 kilometres from Damasak)",12.8847,12.5081,33
Anambra state,Anambra state,6.333333,7,33
Plateau state,"Barkin Ladi LGA (Budung village, Fan district)",9.54969,8.9344,33
Nasarawa state,Udeni Gida village,8.27611,7.99028,33
Rivers state,Ogbakiri village,4.79401,6.91389,33
Rivers state,Ogoniland,4.733922,7.230038,32
Rivers state,Port Harcourt,4.777423,7.013404,32
Nasarawa state,"Likygegba (Soni Arikya), Lafia East Development Area",8.64007,8.69959,32
Borno state,"Nganzai, Borno state  ///  Usmanti village in Nganzai Local Government Area  ///  Goni Usmanti, 60 kilometres (40 miles) away [from Monguno town]  ///  Goni-Usmanti village in Gubio local government",12.648483,12.741016,32
Bauchi state,Azare town,11.6765,10.1948,32
Benue state,Gboko town,7.3179,8.9951,32
Borno state,between the towns of Malam Fatori and Damasak,13.476418,12.952616,32
Borno state,Kakawa LGA,12.96309,13.60899,32
Borno state,"Maiduguri town (Zajeri, Bulabulin and Bayan wards), Borno state",11.84644,13.160274,32
Borno state,Kwakwa and Chingori communities in Bama area of Borno State,11.52059,14.09661,32
Borno state,Gajiganna town,12.252155,13.105596,32
Borno state,in Askira town,10.64697,12.91104,32
Borno state,in the town of Mainok,11.83022,12.63067,31
Benue state,"vicinity of MAMSIRMI and LAFIYA, Villages, LAMURDE LGA, ADAMAWA State",7.333333,8.75,31
Bayelsa state,Bassambiri town,4.533333,6.416667,31
Benue state,at Ochoro; of Konshisha Local Government Area of Benue State,7.02993,8.66037,31
Adamawa state,Yola town (Jambutu area),9.2,12.48333,31
Adamawa state,between Kirchinga and Imirsa,10.826986,13.339133,31
Borno state,targeted the village of Auno and passing traffic Borno state,11.84685,12.9359,31
Kaduna state,"Karshin Daji village, Sanga LGA",9.25,8.45,31
Plateau state,Jos town (Jos University),9.916667,8.9,31
Taraba state,"Wukari, Taraba State",7.85,9.783333,31
Yobe state,"on Gashua Road in the outskirts of Damaturu, Yobe State",11.747,11.9608,31
Taraba state,"Yongogba, along Takum-Kpashe Road",7.171747,10.073664,30
Yobe state,Damaturu town (Kandahar and around the cementary area of),11.747,11.9608,30
Rivers state,Oyigbo LGA (Oyigbo area),4.87806,7.12833,30
Nasarawa state,"Obi town, Obi LGA",8.36667,8.76667,30
Nasarawa state,"ODENI MAGAJI Village, NASARAWA LGA, NASARAWA State",8.26937,7.59744,30
Osun state,Modakeke town,7.383333,4.266667,30
Kaduna state,Jaji (30 km from Kaduna town),10.8237,7.56889,30
Kaduna state,"Godogodo chiefdom, Jema'a LGA",9.43251,8.35371,30
Borno state,"villages 25 km into Nigeria and 40km wide from Cameroonian border, in Bama and Gwoza",11.103593,13.712983,30
Borno state,"villages 25 km into Nigeria and 40km wide from Cameroonian border, in Bama and Gwoza",11.52059,14.09661,30
Borno state,"Outside Gwoza, on the road to Kirawa",11.103593,13.712982,30
Borno state,Ngamdu town,11.7593,12.2561,30
Borno state,Ngoshe Ndahang village,11.103593,13.712983,30
Adamawa state,Gaya village,10.31016,12.92473,30
Adamawa state,"Demsare, Wunamokoh, Dikajam and Taboungo villages, Girei local Government area   Goron, Koh, Dagiyo, Tsukwang, Tabongo, Ndikajam, Kangling, Noine, Demsare, Fawaire, Wodifara, and Gwakrah villages",9.42646,12.48094,30
Adamawa state,"Kudakaya/Kuda/Kuda-Kaya village in the Madagali district of Adamawa state, some 285 kilometres (177 miles) north of the state capital Yola",10.838173,13.40093,30
Adamawa state,Mandara mountains (on the border to Cameroon),10.170877,13.385249,30
Benue state,"Odoke, Ndiobasi and Obakotara communities in Ebonyi local government area of the State  communities are Izzi(a clan in Ebonyi) speaking communities but they are geographically located in Benue  The affected communities share boundary with Ado Local Govern",6.79934,8.00541,30
Benue state,"Oguchi-Ankpa, Agatu council, Benue state",7.9061,7.85487,30
Benue state,"Omutu, in the Okpokwu area of Benue state",6.97437,7.977584,30
Benue state,Yogbo (less than 15 minutes drive from Makurdi town),7.7411,8.5121,30
Borno state,(village of) Konduga,11.65583,13.42133,30
Borno state,Ajiri town; had raided the same base on Sunday,11.97351,13.71187,30
Borno state,Angurva village,11.103593,13.712983,30
Borno state,between the town of Dikwa and Marte in the Lake Chad region  ///  around Ala village situated between Marte-Dikwa town,12.2085,13.87973,30
Borno state,in the town of Magumeri,12.1131,12.8274,30
Borno state,in the village of Talala; Borno state,11.22824,12.31561,30
Borno state,Kummabza village,11.09826,12.76417,30
Borno state,"Linmakara village, Gwoza LGA",10.98267,13.66066,30
Borno state,Maiduguri town (Baga Road area),11.84644,13.160274,30
Borno state,"Mafa-Ngom area (Ngom village and Mafa Local Government Area, about 30 kilometres north east of the city along the College of Agriculture and the Chad Basin Development Authority road in the metropolis.)",11.8826,13.3434,30
Borno state,Halagwa village,11.103593,13.712983,30
Borno state,"bridge linking Nigeria with Cameroon, at Gamborou-Ngala",12.374126,14.222062,30
Borno state,Bulajilin and Manawashe villages along Bita and Damboa road at the fringes of Sambisa forest,11.220883,13.12123,30
