conflict_name,date_start,date_end,conflict_duration_days,type_of_violence,total_fatalities
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,1/1/2013,1/31/2013,30,3,23
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,1/1/2015,1/31/2015,30,3,100
Supporters of ANPP - Supporters of PDP,9/1/2002,9/30/2002,29,2,2
Ijaw - Ilaje,9/1/1998,9/30/1998,29,2,27
Christians (Nigeria) - Muslims (Nigeria),6/1/2004,6/30/2004,29,2,132
Nigeria: Islamic State,6/6/2015,7/5/2015,29,1,0
Deebam - Deewell,4/1/2015,4/30/2015,29,2,2
Deebam - Deewell,9/1/2005,9/30/2005,29,2,9
Black Axe - Eyie,12/1/2014,12/30/2014,29,2,32
Black Axe - Eyie,6/1/2014,6/30/2014,29,2,1
Black Axe - Eyie,9/1/2004,9/30/2004,29,2,4
Black Axe - Eyie,6/1/2012,6/30/2012,29,2,3
Government of Nigeria - Civilians,9/1/2008,9/30/2008,29,3,1
Deebam - NDV,6/1/2017,6/30/2017,29,2,1
Nigeria: Government,2/1/2010,2/28/2010,27,1,0
Government of Nigeria - Civilians,2/1/2002,2/28/2002,27,3,1
Black Axe - Eyie,2/1/2014,2/28/2014,27,2,1
Ndoki - Ogoni,4/3/1994,4/30/1994,27,2,30
Fulani - Wurukum,2/1/1999,2/28/1999,27,2,10
Birom - Fulani,2/1/2011,2/28/2011,27,2,3
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,2/1/2015,2/28/2015,27,3,10
Christians (Nigeria) - Muslims (Nigeria),2/1/2004,2/26/2004,25,2,3
Christians (Nigeria) - Muslims (Nigeria),2/1/2004,2/26/2004,25,2,4
Christians (Nigeria) - Muslims (Nigeria),2/1/2004,2/26/2004,25,2,7
Fulani - Tiv,7/11/2013,8/5/2013,25,2,6
Fulani - Tiv,4/1/2015,4/25/2015,24,2,2
Greenlanders - NDV,4/1/2014,4/25/2014,24,2,2
Greenlanders - NDV,4/1/2014,4/25/2014,24,2,2
Birom - Fulani,4/9/2012,5/1/2012,22,2,1
Birom - Fulani,4/9/2012,5/1/2012,22,2,1
Birom - Fulani,4/9/2012,5/1/2012,22,2,1
Birom - Fulani,4/9/2012,5/1/2012,22,2,1
Birom - Fulani,4/9/2012,5/1/2012,22,2,1
Birom - Fulani,4/9/2012,4/30/2012,21,2,1
Aguleri - Umuleri,4/2/1999,4/23/1999,21,2,97
Supporters of ANPP - Supporters of PDP,4/12/2003,5/3/2003,21,2,17
Ezilo - Ezza,5/10/2008,5/30/2008,20,2,6
Nigeria: Islamic State,12/1/2021,12/21/2021,20,1,28
Jukun - Tiv,2/1/1992,2/20/1992,19,2,0
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,10/29/2014,11/17/2014,19,3,2
Black Axe - Eyie,3/1/2012,3/19/2012,18,2,3
Deebam - Deewell,7/19/2006,8/5/2006,17,2,4
Bakassi boys - Civilians,7/15/2000,7/31/2000,16,3,16
Bakassi boys - Civilians,7/15/2000,7/31/2000,16,3,15
Deebam - Deewell,7/15/2015,7/30/2015,15,2,19
Supporters of APC - Supporters of PDP,2/22/2019,3/9/2019,15,2,1
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,1/25/2015,2/9/2015,15,3,50
Jukun - Tiv,9/25/1990,10/10/1990,15,2,9
Christians (Nigeria) - Muslims (Nigeria),3/9/2010,3/23/2010,14,2,0
Jukun - Tiv,10/1/2001,10/15/2001,14,2,481
Ijaw - Itsekiri,10/16/1998,10/30/1998,14,2,0
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,10/1/2014,10/15/2014,14,3,130
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,10/2/2021,10/16/2021,14,3,5
Nigeria: Islamic State,12/6/2017,12/20/2017,14,1,20
Fulani - Tiv,6/27/2016,7/11/2016,14,2,41
Fulani - Tiv,6/27/2016,7/11/2016,14,2,40
Government of Nigeria - Civilians,10/21/2020,11/4/2020,14,3,2
Bassa Kwomu - Egbura Mozum,5/2/2018,5/16/2018,14,2,0
Fulani - Irigwe,4/1/2019,4/15/2019,14,2,1
Fulani - Irigwe,2/1/2021,2/14/2021,13,2,0
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,9/17/2014,9/30/2014,13,3,18
Azara - Tiv,6/12/2001,6/25/2001,13,2,200
Christians (Nigeria) - Muslims (Nigeria),2/26/2004,3/10/2004,13,2,4
Christians (Nigeria) - Muslims (Nigeria),2/26/2004,3/10/2004,13,2,6
Christians (Nigeria) - Muslims (Nigeria),2/26/2004,3/10/2004,13,2,20
Birom - Fulani,1/19/2010,1/31/2010,12,2,16
Government of Nigeria - Civilians,9/1/2019,9/13/2019,12,3,1
IPOB - Civilians,4/24/2021,5/6/2021,12,3,2
IPOB - Civilians,4/24/2021,5/6/2021,12,3,10
Government of Nigeria - Civilians,11/20/1999,12/1/1999,11,3,2478
Fulani - Karimjo,4/3/1996,4/14/1996,11,2,80
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,10/20/2014,10/31/2014,11,3,8
Christians (Nigeria) - Muslims (Nigeria),3/10/2004,3/20/2004,10,2,0
Christians (Nigeria) - Muslims (Nigeria),5/1/2004,5/11/2004,10,2,2
Fulani - Tiv,11/21/2011,12/1/2011,10,2,0
Government of Nigeria - Civilians,11/10/2001,11/20/2001,10,3,1
Nigeria: Niger Delta,9/10/2004,9/20/2004,10,1,2
Government of Nigeria - Civilians,2/23/2019,3/5/2019,10,3,1
Fulani - Yandang,7/4/2018,7/13/2018,9,2,3
Fulani - Yandang,7/4/2018,7/13/2018,9,2,3
Fulani - Yandang,7/4/2018,7/13/2018,9,2,3
Fulani - Yandang,7/4/2018,7/13/2018,9,2,3
Fulani - Yandang,7/4/2018,7/13/2018,9,2,4
Fulani - Yandang,7/4/2018,7/13/2018,9,2,4
Fulani - Yandang,7/4/2018,7/13/2018,9,2,51
Nigeria: Government,2/28/2013,3/9/2013,9,1,32
Christians (Nigeria) - Muslims (Nigeria),3/1/2004,3/10/2004,9,2,9
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,9/2/2014,9/11/2014,9,3,0
Black Axe - Eyie,5/1/2018,5/10/2018,9,2,1
Black Axe - Eyie,3/9/2019,3/17/2019,8,2,10
Nigeria: Islamic State,11/18/2018,11/26/2018,8,1,3
Nigeria: Islamic State,11/18/2018,11/26/2018,8,1,2
Nigeria: Islamic State,11/18/2018,11/26/2018,8,1,2
Birom - Fulani,10/2/2014,10/10/2014,8,2,0
Birom - Fulani,10/2/2014,10/10/2014,8,2,0
Birom - Fulani,10/2/2014,10/10/2014,8,2,0
IS - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,3/5/2021,3/13/2021,8,2,0
Nigeria: Government,2/27/2017,3/7/2017,8,1,30
Nigeria: Government,2/27/2017,3/7/2017,8,1,30
Nigeria: Government,1/9/2017,1/16/2017,7,1,1
Nigeria: Islamic State,8/7/2021,8/14/2021,7,1,0
Nigeria: Islamic State,1/7/2021,1/14/2021,7,1,36
Fulani - Irigwe,4/26/2019,5/3/2019,7,2,3
Christians (Nigeria) - Muslims (Nigeria),3/1/2004,3/8/2004,7,2,7
Igbo - Tiv,12/11/1998,12/18/1998,7,2,32
Fulani - Tarok,3/1/2004,3/8/2004,7,2,13
Izzi (Igbo) - Ukele,12/10/2019,12/17/2019,7,2,1
Fulani - Mambila,1/1/2002,1/8/2002,7,2,50
Black Axe - Maphite,9/14/2015,9/21/2015,7,2,25
Black Axe - Eyie,11/24/2021,12/1/2021,7,2,6
Black Axe - Eyie,6/25/2016,7/2/2016,7,2,8
Black Axe - Eyie,10/20/2015,10/27/2015,7,2,2
Fulani - Yoruba,2/6/2021,2/13/2021,7,2,3
Black Axe - Eyie,5/3/2008,5/10/2008,7,2,8
Fulani - Tiv,1/1/2018,1/8/2018,7,2,16
Fulani - Tiv,1/1/2018,1/8/2018,7,2,16
Greenlanders - NDV,8/29/2011,9/5/2011,7,2,14
Alago - Eggon,11/16/2014,11/23/2014,7,2,1
Nigeria: Islamic State,9/13/2019,9/20/2019,7,1,2
Nigeria: Islamic State,9/13/2019,9/20/2019,7,1,1
Nigeria: Islamic State,3/14/2020,3/20/2020,6,1,10
Deebam - Deewell,10/6/2014,10/12/2014,6,2,4
Deebam - Deewell,10/13/2014,10/19/2014,6,2,3
Deebam - Deewell,5/25/2015,5/31/2015,6,2,4
Fulani - Tiv,5/24/2021,5/30/2021,6,2,20
Fulani - Tiv,2/5/2018,2/11/2018,6,2,5
Fulani - Tiv,2/5/2018,2/11/2018,6,2,5
Fulani - Tiv,2/5/2018,2/11/2018,6,2,5
Fulani - Tiv,2/5/2018,2/11/2018,6,2,5
Fulani - Tiv,2/19/2018,2/25/2018,6,2,0
Black Axe - Eyie,5/19/2011,5/25/2011,6,2,12
Black Axe - Eyie,1/18/2016,1/24/2016,6,2,2
Black Axe - Eyie,11/9/2020,11/15/2020,6,2,13
Black Axe - Eyie,3/18/2019,3/24/2019,6,2,2
Nigeria: Islamic State,5/2/2016,5/8/2016,6,1,2
Eggon - Fulani,8/16/2014,8/22/2014,6,2,2
Nigeria: Islamic State,11/9/2015,11/15/2015,6,1,10
Nigeria: Islamic State,11/9/2015,11/15/2015,6,1,18
Nigeria: Islamic State,11/9/2015,11/15/2015,6,1,2
Nigeria: Islamic State,12/11/2015,12/17/2015,6,1,34
Nigeria: Islamic State,12/11/2015,12/17/2015,6,1,15
Nigeria: Islamic State,1/25/2016,1/31/2016,6,1,3
Hausa - Yoruba,7/7/1998,7/13/1998,6,2,5
Hausa - Yoruba,7/7/1998,7/13/1998,6,2,55
Ijaw - Itsekiri,3/24/1997,3/30/1997,6,2,3
Adoni - Ogoni,9/14/1993,9/20/1993,6,2,988
Ife - Modakeke,12/2/1997,12/8/1997,6,2,35
"Afisare, Anaguta, Birom - Fulani, Hausa",9/7/2001,9/13/2001,6,2,952
Jukun - Tiv,4/5/2019,4/11/2019,6,2,15
Ijaw - Ilaje,9/20/1999,9/26/1999,6,2,20
Ijaw - Urhobo,3/24/1997,3/30/1997,6,2,19
Jukun - Tiv,9/23/2019,9/29/2019,6,2,5
Birom - Fulani,10/16/2017,10/22/2017,6,2,1
Ezilo - Ezza,2/13/2010,2/19/2010,6,2,10
Birom - Fulani,8/17/2015,8/23/2015,6,2,10
Boje - Nsadop,10/24/2010,10/30/2010,6,2,15
Boje - Nsadop,10/24/2010,10/30/2010,6,2,15
Birom - Fulani,1/22/2010,1/28/2010,6,2,2
Birom - Fulani,2/19/2010,2/25/2010,6,2,4
Christians (Nigeria) - Muslims (Nigeria),8/15/2016,8/21/2016,6,2,3
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,9/10/2014,9/16/2014,6,3,6
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,6/17/2014,6/23/2014,6,3,30
Supporters of ANPP - Supporters of PDP,3/17/2003,3/23/2003,6,2,1
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,1/22/2015,1/28/2015,6,3,20
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,1/22/2015,1/28/2015,6,3,20
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,8/7/2017,8/13/2017,6,3,42
Nigeria: Government,3/16/2020,3/22/2020,6,1,4
Bwatiye - Fulani,11/27/2017,12/3/2017,6,2,2
Nigeria: Government,1/28/2021,2/3/2021,6,1,2
Nigeria: Government,2/8/2021,2/14/2021,6,1,82
Government of Nigeria - Civilians,9/6/1999,9/12/1999,6,3,3
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,5/20/2013,5/26/2013,6,3,3
Nigeria: Islamic State,1/28/2021,2/3/2021,6,1,58
Nigeria: Government,11/6/2017,11/12/2017,6,1,27
IS - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,12/8/2017,12/14/2017,6,2,2
IS - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,12/8/2017,12/14/2017,6,2,2
IS - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,12/8/2017,12/14/2017,6,2,1
Wanhihem community - Wanikade community,6/28/2017,7/3/2017,5,2,150
Nigeria: Government,5/15/2013,5/20/2013,5,1,3
Nigeria: Government,5/15/2013,5/20/2013,5,1,3
Nigeria: Government,5/15/2013,5/20/2013,5,1,3
Nigeria: Government,7/3/2013,7/8/2013,5,1,3
Government of Nigeria - Civilians,5/30/2021,6/4/2021,5,3,1
Government of Nigeria - Civilians,11/25/2001,11/30/2001,5,3,10
Government of Nigeria - Civilians,11/25/2001,11/30/2001,5,3,10
Ezilo - Ezza,7/2/2008,7/7/2008,5,2,14
Agatu - Fulani,3/9/2015,3/14/2015,5,2,2
Agatu - Fulani,1/20/2016,1/25/2016,5,2,3
Agatu - Fulani,2/20/2016,2/25/2016,5,2,17
Agatu - Fulani,2/20/2016,2/25/2016,5,2,17
Agatu - Fulani,2/20/2016,2/25/2016,5,2,17
Agatu - Fulani,2/20/2016,2/25/2016,5,2,17
Agatu - Fulani,2/20/2016,2/25/2016,5,2,16
Agatu - Fulani,2/20/2016,2/25/2016,5,2,16
Black Axe - Eyie,3/28/2021,4/2/2021,5,2,2
Black Axe - Eyie,1/1/2012,1/6/2012,5,2,8
Fulani - Tiv,4/14/2018,4/19/2018,5,2,15
Fulani - Tiv,4/14/2018,4/19/2018,5,2,15
Fulani - Tiv,4/14/2018,4/19/2018,5,2,15
Fulani - Tiv,4/14/2018,4/19/2018,5,2,15
Fulani - Tiv,4/14/2018,4/19/2018,5,2,15
Greenlanders - NDV,7/22/2009,7/27/2009,5,2,4
Fulani - Tiv,1/8/2018,1/12/2018,4,2,4
Fulani - Tiv,5/13/2017,5/17/2017,4,2,4
Fulani - Tiv,5/13/2017,5/17/2017,4,2,4
Fulani - Tiv,5/13/2017,5/17/2017,4,2,3
Black Axe - Eyie,5/10/2010,5/14/2010,4,2,2
Black Axe - Eyie,2/11/2002,2/15/2002,4,2,3
Black Axe - Eyie,6/13/2013,6/17/2013,4,2,20
Black Axe - Eyie,6/7/2019,6/11/2019,4,2,4
Nigeria: Islamic State,1/18/2016,1/22/2016,4,1,21
Nigeria: Islamic State,1/14/2016,1/18/2016,4,1,10
Nigeria: Islamic State,1/7/2017,1/11/2017,4,1,11
Fulani - Tiv,2/7/2011,2/11/2011,4,2,27
Christians (Nigeria) - Muslims (Nigeria),4/16/2011,4/20/2011,4,2,8
Christians (Nigeria) - Muslims (Nigeria),4/16/2011,4/20/2011,4,2,8
Christians (Nigeria) - Muslims (Nigeria),4/16/2011,4/20/2011,4,2,8
Christians (Nigeria) - Muslims (Nigeria),4/16/2011,4/20/2011,4,2,8
Christians (Nigeria) - Muslims (Nigeria),4/16/2011,4/20/2011,4,2,7
Christians (Nigeria) - Muslims (Nigeria),4/16/2011,4/20/2011,4,2,7
Christians (Nigeria) - Muslims (Nigeria),4/16/2011,4/20/2011,4,2,7
Christians (Nigeria) - Muslims (Nigeria),4/16/2011,4/20/2011,4,2,7
Christians (Nigeria) - Muslims (Nigeria),4/16/2011,4/20/2011,4,2,7
Christians (Nigeria) - Muslims (Nigeria),4/16/2011,4/20/2011,4,2,7
Christians (Nigeria) - Muslims (Nigeria),4/16/2011,4/20/2011,4,2,7
Christians (Nigeria) - Muslims (Nigeria),4/16/2011,4/20/2011,4,2,7
Christians (Nigeria) - Muslims (Nigeria),8/29/2011,9/2/2011,4,2,4
Christians (Nigeria) - Muslims (Nigeria),6/17/2012,6/21/2012,4,2,79
Birom - Fulani,11/20/2011,11/24/2011,4,2,25
Birom - Fulani,5/26/2002,5/30/2002,4,2,10
Christians (Nigeria) - Muslims (Nigeria),3/7/2017,3/11/2017,4,2,0
Ijaw - Itsekiri,8/15/2003,8/19/2003,4,2,30
Fulani - Mambila,6/16/2017,6/20/2017,4,2,104
Supporters of ANPP - Supporters of PDP,4/30/2004,5/4/2004,4,2,27
Supporters of ANPP - Supporters of PDP,4/30/2004,5/4/2004,4,2,27
Supporters of ANPP - Supporters of PDP,4/30/2004,5/4/2004,4,2,27
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,8/25/2014,8/29/2014,4,3,200
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,1/3/2015,1/7/2015,4,3,92
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,1/3/2015,1/7/2015,4,3,91
Bwatiye - Fulani,1/8/2018,1/12/2018,4,2,1
Nigeria: Government,9/14/2020,9/18/2020,4,1,0
Government of Nigeria - Civilians,3/5/2019,3/9/2019,4,3,1
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,8/27/2012,8/31/2012,4,3,3
IS - Civilians,2/17/2021,2/21/2021,4,3,5
Nigeria: Islamic State,9/14/2020,9/18/2020,4,1,0
Nigeria: Government,1/27/2012,1/31/2012,4,1,0
Nigeria: Islamic State,4/10/2021,4/14/2021,4,1,6
Nigeria: Islamic State,12/4/2019,12/8/2019,4,1,0
Nigeria: Islamic State,2/21/2020,2/24/2020,3,1,1
Nigeria: Islamic State,9/29/2019,10/2/2019,3,1,2
Nigeria: Government,9/30/2013,10/3/2013,3,1,40
Nigeria: Government,3/31/2014,4/3/2014,3,1,2
Nigeria: Government,3/31/2014,4/3/2014,3,1,1
Nigeria: Government,8/13/2014,8/16/2014,3,1,32
Nigeria: Government,11/16/2014,11/19/2014,3,1,12
Nigeria: Government,11/16/2014,11/19/2014,3,1,11
Nigeria: Government,11/16/2014,11/19/2014,3,1,11
Deebam - NDV,4/6/2019,4/9/2019,3,2,2
Nigeria: Government,7/27/2009,7/30/2009,3,1,0
Nigeria: Islamic State,9/25/2020,9/28/2020,3,1,5
IS - Civilians,9/29/2019,10/2/2019,3,3,2
Atyap - Fulani,12/17/2020,12/20/2020,3,2,1
Atyap - Fulani,12/17/2020,12/20/2020,3,2,3
Government of Nigeria - Civilians,11/21/2002,11/24/2002,3,3,1
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,10/11/2014,10/14/2014,3,3,17
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,10/17/2014,10/20/2014,3,3,3
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,11/10/2013,11/13/2013,3,3,12
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,11/10/2013,11/13/2013,3,3,7
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,11/10/2013,11/13/2013,3,3,7
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,11/18/2013,11/21/2013,3,3,2
Supporters of AD - Supporters of PDP,5/12/2003,5/15/2003,3,2,18
Fulani - Mambila,3/1/2018,3/4/2018,3,2,3
Fulani - Mambila,3/1/2018,3/4/2018,3,2,3
Fulani - Mambila,3/1/2018,3/4/2018,3,2,4
Gamai - Pan,4/10/2006,4/13/2006,3,2,25
Hausa - Tarok,10/1/2002,10/4/2002,3,2,10
Ijaw - Itsekiri,5/29/1999,6/1/1999,3,2,100
Hausa - Yoruba,2/2/2002,2/5/2002,3,2,100
Ife - Modakeke,8/16/1997,8/19/1997,3,2,65
Efik - Ibibio,2/15/1992,2/18/1992,3,2,0
Ijaw - Itsekiri,4/20/2004,4/23/2004,3,2,0
"Ijaw, Urhobo - Itsekiri",6/4/1999,6/7/1999,3,2,16
Christians (Nigeria) - Muslims (Nigeria),4/19/1991,4/22/1991,3,2,75
Christians (Nigeria) - Muslims (Nigeria),4/19/1991,4/22/1991,3,2,75
Christians (Nigeria) - Muslims (Nigeria),1/17/2010,1/20/2010,3,2,10
Christians (Nigeria) - Muslims (Nigeria),1/17/2010,1/20/2010,3,2,51
Birom - Fulani,6/21/2018,6/24/2018,3,2,35
Birom - Fulani,6/21/2018,6/24/2018,3,2,34
Birom - Fulani,6/21/2018,6/24/2018,3,2,34
Birom - Fulani,10/9/2012,10/12/2012,3,2,1
Nigeria: Islamic State,2/11/2016,2/14/2016,3,1,153
Black Axe - Eyie,6/3/2019,6/6/2019,3,2,1
Black Axe - Eyie,7/21/2019,7/24/2019,3,2,4
Black Axe - Maphite,2/27/2007,3/2/2007,3,2,4
Black Axe - Eyie,1/20/2016,1/23/2016,3,2,3
Black Axe - Eyie,6/25/2017,6/28/2017,3,2,10
Fulani - Yoruba,2/10/2018,2/13/2018,3,2,4
Fulani - Tiv,3/7/2015,3/10/2015,3,2,5
Deebam - Deewell,1/27/2005,1/30/2005,3,2,1
Fulani - Tiv,9/24/2021,9/27/2021,3,2,9
Fulani - Tiv,5/13/2021,5/16/2021,3,2,1
Fulani - Tiv,5/13/2021,5/15/2021,2,2,7
Fulani - Tiv,5/15/2021,5/17/2021,2,2,6
Fulani - Tiv,3/20/2020,3/22/2020,2,2,1
Fulani - Tiv,10/24/2018,10/26/2018,2,2,2
Fulani - Tiv,10/24/2018,10/26/2018,2,2,1
Fulani - Tiv,4/28/2021,4/30/2021,2,2,4
Fulani - Tiv,4/28/2021,4/30/2021,2,2,1
Fulani - Tiv,8/23/2021,8/25/2021,2,2,6
Fulani - Tiv,9/16/2021,9/18/2021,2,2,2
Fulani - Tiv,12/17/2021,12/19/2021,2,2,45
Greenlanders - NDV,9/13/2014,9/15/2014,2,2,10
Alago - Eggon,11/20/2012,11/22/2012,2,2,10
Fulani - Tiv,1/2/2018,1/4/2018,2,2,2
Fulani - Tiv,1/2/2018,1/4/2018,2,2,1
Fulani - Tiv,1/2/2018,1/4/2018,2,2,2
Fulani - Yoruba,2/10/2018,2/12/2018,2,2,12
Greenlanders - NDV,5/12/2012,5/14/2012,2,2,1
Fulani - Yoruba,10/22/2013,10/24/2013,2,2,3
Fulani - Yoruba,1/2/2018,1/4/2018,2,2,1
Fulani - Yoruba,8/22/2020,8/24/2020,2,2,0
Greenlanders - NDV,9/24/2016,9/26/2016,2,2,4
Greenlanders - NDV,9/24/2016,9/26/2016,2,2,2
Black Axe - Eyie,3/4/2005,3/6/2005,2,2,7
Black Axe - Eyie,1/11/2013,1/13/2013,2,2,1
Black Axe - Eyie,6/17/2015,6/19/2015,2,2,9
Black Axe - Eyie,1/1/2014,1/3/2014,2,2,4
Black Axe - Eyie,12/22/2021,12/24/2021,2,2,5
Black Axe - Maphite,10/30/2019,11/1/2019,2,2,1
Black Axe - Eyie,2/17/2019,2/19/2019,2,2,7
Black Axe - Eyie,5/5/2019,5/7/2019,2,2,1
Nigeria: Islamic State,2/12/2016,2/14/2016,2,1,10
Nigeria: Islamic State,1/18/2016,1/20/2016,2,1,5
Nigeria: Islamic State,12/13/2015,12/15/2015,2,1,2
Nigeria: Islamic State,11/9/2015,11/11/2015,2,1,4
Nigeria: Islamic State,12/4/2015,12/6/2015,2,1,6
Nigeria: Islamic State,11/3/2015,11/5/2015,2,1,4
Nigeria: Islamic State,11/13/2015,11/15/2015,2,1,2
Nigeria: Islamic State,7/15/2015,7/17/2015,2,1,32
Nigeria: Islamic State,9/8/2015,9/10/2015,2,1,10
Nigeria: Islamic State,10/16/2015,10/18/2015,2,1,3
